Year,Month,SOI
1991,6,-6.95
1991,7,-2.05
1991,8,-5.90
1991,9,-15.99
1991,10,-14.12
1991,11,-6.48
1991,12,-18.64
1992,1,-25.46
1992,2,-11.20
1992,3,-22.38
1992,4,-16.26
1992,5,0.96
1992,6,-11.79
1992,7,-5.31
1992,8,0.27
1992,9,1.98
1992,10,-15.83
1992,11,-10.98
1992,12,-6.69
1993,1,-8.92
1993,2,-9.87
1993,3,-6.40
1993,4,-18.56
1993,5,-7.98
1993,6,-14.17
1993,7,-9.83
1993,8,-12.86
1993,9,-6.81
1993,10,-14.94
1993,11,1.47
1993,12,-0.03
1994,1,-2.85
1994,2,0.30
1994,3,-9.63
1994,4,-20.07
1994,5,-10.76
1994,6,-9.74
1994,7,-15.60
1994,8,-17.30
1994,9,-16.02
1994,10,-14.08
1994,11,-6.78
1994,12,-13.28
1995,1,-5.61
1995,2,-3.91
1995,3,1.70
1995,4,-12.66
1995,5,-7.91
1995,6,-2.14
1995,7,3.14
1995,8,1.10
1995,9,2.36
1995,10,0.18
1995,11,2.42
1995,12,-7.83
1996,1,7.70
1996,2,-0.09
1996,3,5.29
1996,4,5.25
1996,5,1.68
1996,6,10.47
1996,7,6.74
1996,8,5.30
1996,9,6.15
1996,10,6.22
1996,11,-0.84
1996,12,7.32
1997,1,3.49
1997,2,12.44
1997,3,-7.03
1997,4,-14.35
1997,5,-18.65
1997,6,-24.34
1997,7,-8.86
1997,8,-18.70
1997,9,-14.12
1997,10,-17.35
1997,11,-13.85
1997,12,-10.78
1998,1,-22.14
1998,2,-22.21
1998,3,-26.11
1998,4,-22.47
1998,5,-0.35
1998,6,8.23
1998,7,12.86
1998,8,9.77
1998,9,12.07
1998,10,11.16
1998,11,13.31
1998,12,11.68
1999,1,14.73
1999,2,7.07
1999,3,7.57
1999,4,16.81
1999,5,0.90
1999,6,-0.54
1999,7,4.41
1999,8,3.34
1999,9,0.15
1999,10,9.49
1999,11,11.64
1999,12,12.50
2000,1,3.22
2000,2,13.03
2000,3,7.60
2000,4,15.37
2000,5,6.03
2000,6,-6.54
2000,7,-4.02
2000,8,4.55
2000,9,10.14
2000,10,11.55
2000,11,20.68
2000,12,7.75
2001,1,7.39
2001,2,12.01
2001,3,4.87
2001,4,1.39
2001,5,-9.87
2001,6,2.39
2001,7,-3.30
2001,8,-8.27
2001,9,1.67
2001,10,-3.00
2001,11,8.96
2001,12,-11.19
2002,1,2.50
2002,2,7.05
